CATEGORY,GIS_ID,OBJECTID,GLOBALID,SHAPEAREA,SHAPELEN
Primary Street,Downtown_DesignatedStreetsPly_95,125,{7D25D422-381E-4508-87C0-542B588E2964},0,0
Primary Street,Downtown_DesignatedStreetsPly_96,126,{8B6234FB-C4CA-4973-9AB1-1A4A3D5D6419},0,0
Primary Street,Downtown_DesignatedStreetsPly_97,127,{62D0B98A-62F5-4CE2-9535-0202C5ABA537},0,0
Primary Street,Downtown_DesignatedStreetsPly_98,128,{43267772-F012-4FD5-B204-7934D2F54019},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_99,129,{1D23327F-B93E-4A4E-8329-8469F2901325},0,0
Secondary Street,Downtown_DesignatedStreetsPly_100,130,{D64FB675-3DE7-4E33-B807-85778E06D22A},0,0
Secondary Street,Downtown_DesignatedStreetsPly_101,131,{982DA793-F325-42F5-AA3D-20BEE1A8BD12},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_102,132,{BB14F8B3-E6F9-461A-B223-0BE8A76D53AE},0,0
Secondary Street,Downtown_DesignatedStreetsPly_103,133,{759C89DB-CFDB-420E-8229-37A7307273CA},0,0
Secondary Street,Downtown_DesignatedStreetsPly_104,134,{1943A471-C3DB-4148-97E2-4E45AB205CA4},0,0
Secondary Street,Downtown_DesignatedStreetsPly_105,135,{E6F5B157-C967-46B8-A4D2-6520F278CB3E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_106,136,{946420BE-ADC3-4F8D-99BC-84DCC25DABC1},0,0
Secondary Street,Downtown_DesignatedStreetsPly_107,137,{E54B7B0F-0AF6-40C5-8BCB-885E4EC41E3B},0,0
Secondary Street,Downtown_DesignatedStreetsPly_108,138,{D792ADEB-2B83-4738-8519-B9E5DD050710},0,0
Secondary Street,Downtown_DesignatedStreetsPly_109,139,{F50D59C2-C8EC-4A8E-89C7-D167EFE9A889},0,0
Secondary Street,Downtown_DesignatedStreetsPly_110,140,{B683A5CA-F2D4-4978-AF82-20B6AA002543},0,0
Secondary Street,Downtown_DesignatedStreetsPly_111,141,{649366A1-2B09-4681-AABE-48896004EBD1},0,0
Secondary Street,Downtown_DesignatedStreetsPly_112,142,{5A3CBF32-26AC-45E1-8485-6D31EFA4C4F2},0,0
Secondary Street,Downtown_DesignatedStreetsPly_113,143,{2C54C47F-535B-4A00-AFE2-A692C1C16B25},0,0
Primary Street,Downtown_DesignatedStreetsPly_114,144,{095757FF-3BA3-4A90-A077-B354B50830CA},0,0
Primary Street,Downtown_DesignatedStreetsPly_115,145,{B6160DFC-1FE6-43BB-A68A-FF292567B334},0,0
Primary Street,Downtown_DesignatedStreetsPly_116,146,{B58D2D00-0D3D-4D78-9D11-193670910865},0,0
Secondary Street,Downtown_DesignatedStreetsPly_117,147,{06B5D10E-0907-4E2C-B8EF-896AC046326A},0,0
Primary Street,Downtown_DesignatedStreetsPly_118,148,{1BACF336-2682-4EB8-B367-79318011CC90},0,0
Primary Street,Downtown_DesignatedStreetsPly_119,149,{1D230E76-FD48-454F-A3CF-3B37C1AAAB91},0,0
Primary Street,Downtown_DesignatedStreetsPly_120,150,{F5438B48-427A-47AF-B9F8-45DEC261817C},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_121,151,{9EB0821A-3AB6-4DE4-A4BA-3C936853FF45},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_122,152,{097835E4-DDCC-46C4-A86A-6FEF1440042E},0,0
Primary Street,Downtown_DesignatedStreetsPly_123,153,{F006473F-11FF-4675-ADCA-E8947965ECBD},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_124,154,{D881ECB5-FAD0-4A7F-93AC-1F0925C4DE32},0,0
Primary Street,Downtown_DesignatedStreetsPly_125,155,{3F24575A-111A-475D-A2F5-7CE03648CC94},0,0
Primary Street,Downtown_DesignatedStreetsPly_126,156,{2C19F982-A3FE-4066-9B96-265AD79ACE0F},0,0
Primary Street,Downtown_DesignatedStreetsPly_127,157,{698DB047-3178-4B99-9EF5-A3F08580AAA5},0,0
Primary Street,Downtown_DesignatedStreetsPly_128,158,{0D0CCEEF-A9A4-468B-B702-F670BCC0ED6B},0,0
Primary Street,Downtown_DesignatedStreetsPly_129,159,{F48906B3-E37D-4D30-8D39-CFC4001AD05A},0,0
Primary Street,Downtown_DesignatedStreetsPly_130,160,{D7D1AC5B-C637-4DDE-AC33-371CAC825B90},0,0
Secondary Street,Downtown_DesignatedStreetsPly_131,161,{6BCC5B36-1798-494A-821D-3FE4E4A0C51B},0,0
Secondary Street,Downtown_DesignatedStreetsPly_132,162,{CEA27A64-D292-4913-909E-74490C81DE70},0,0
Secondary Street,Downtown_DesignatedStreetsPly_133,163,{89F1E740-7F0C-4D8D-BDD9-BC24C83BE074},0,0
Secondary Street,Downtown_DesignatedStreetsPly_134,164,{80C02AC3-1DAF-48C6-9341-4A0F93AAF84E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_135,165,{F12827FB-3919-478B-8639-DB43DF0E9DB4},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_136,166,{3DEA9EAF-42AC-4950-9454-06FB6D4828FB},0,0
Secondary Street,Downtown_DesignatedStreetsPly_137,167,{BDD378DF-4A74-4F78-ACA2-2857965C4F1C},0,0
Secondary Street,Downtown_DesignatedStreetsPly_138,168,{F6DC3ECB-988B-48AE-A842-B3308F1198FD},0,0
Secondary Street,Downtown_DesignatedStreetsPly_139,169,{48FC6A95-3B80-47FA-B1B2-D6C961D7001C},0,0
Secondary Street,Downtown_DesignatedStreetsPly_140,170,{24C2C9E0-7DF6-4AFF-968C-021394EBEBAB},0,0
Secondary Street,Downtown_DesignatedStreetsPly_141,171,{3B15F4E3-F485-470E-AD2A-6F6A8A9814A0},0,0
Secondary Street,Downtown_DesignatedStreetsPly_142,172,{AA7CDCDE-A5B7-42AC-B807-9814F348F2AE},0,0
Secondary Street,Downtown_DesignatedStreetsPly_143,173,{68B8F38D-3810-43DB-92EB-B11936768B8C},0,0
Secondary Street,Downtown_DesignatedStreetsPly_144,174,{564381FD-1145-447A-92BC-EA8FAB52F792},0,0
Primary Street,Downtown_DesignatedStreetsPly_145,175,{A974C7EF-758B-419A-9726-E967A16C0CC0},0,0
Secondary Street,Downtown_DesignatedStreetsPly_146,176,{3527C1BE-4A9C-4CF5-8DF7-3E1A534FF142},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_147,177,{5AD022B2-B8DE-43E7-B813-DC9573F437C8},0,0
Primary Street,Downtown_DesignatedStreetsPly_148,178,{7BFCA140-DB81-4D91-BAC8-D5D0EAE2A076},0,0
Primary Street,Downtown_DesignatedStreetsPly_149,179,{14D3BDC4-6FE6-4973-B34F-A6C42D446C88},0,0
Secondary Street,Downtown_DesignatedStreetsPly_150,180,{B390A306-2376-4941-86C8-38C680689278},0,0
Secondary Street,Downtown_DesignatedStreetsPly_151,181,{08437899-6E09-45D2-B3BA-60E9CA2A6217},0,0
Primary Street,Downtown_DesignatedStreetsPly_152,182,{F3B052D8-8806-44B8-9EE9-EAA3351AAC40},0,0
Primary Street,Downtown_DesignatedStreetsPly_153,183,{8601024A-FA90-47A3-9383-1A848FCAB28E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_154,184,{92072C2B-EC52-4725-84F9-A094800DF951},0,0
Secondary Street,Downtown_DesignatedStreetsPly_155,185,{1A5053A6-2AE2-4134-BD24-C47183A46BC0},0,0
Secondary Street,Downtown_DesignatedStreetsPly_156,186,{B53A9BA4-ABFF-4D40-824D-B2862C0337E7},0,0
Secondary Street,Downtown_DesignatedStreetsPly_157,187,{D979FC83-D480-428B-8F7B-5013D858BA4C},0,0
Secondary Street,Downtown_DesignatedStreetsPly_158,188,{CBCD3E7D-0CAE-4707-B3FB-0052A4B1F6C1},0,0
Primary Street,Downtown_DesignatedStreetsPly_159,189,{935E9088-37FE-44CD-BD8E-9F2D20C4A699},0,0
Secondary Street,Downtown_DesignatedStreetsPly_160,190,{25BE8681-3A53-4C1D-B789-BA142EC8BFC5},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_161,191,{E8E93EB1-A05E-4651-8E74-4EA16C864772},0,0
Secondary Street,Downtown_DesignatedStreetsPly_162,192,{64DB84F4-0E30-4F2E-AF7B-C55311F75B5C},0,0
Secondary Street,Downtown_DesignatedStreetsPly_163,193,{C254A921-1F5A-477C-8CB7-71DD678711A2},0,0
Secondary Street,Downtown_DesignatedStreetsPly_164,194,{1CEACA31-3E62-46A0-9BFA-F7D94D611798},0,0
Secondary Street,Downtown_DesignatedStreetsPly_165,195,{F06F5E28-5944-42F9-9228-045993BBC460},0,0
Secondary Street,Downtown_DesignatedStreetsPly_166,196,{74B7A069-3D6E-4E71-AB41-5AA68978DDE3},0,0
Secondary Street,Downtown_DesignatedStreetsPly_167,197,{5097274E-3923-4CA0-A732-4FFEAA97E7D7},0,0
Secondary Street,Downtown_DesignatedStreetsPly_168,198,{23444C32-F263-483F-8A13-E899946280B4},0,0
Secondary Street,Downtown_DesignatedStreetsPly_169,199,{2A01E7BD-FFA3-46C2-A314-76379BCE20BB},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_170,200,{A1EAF957-DDC4-4DD5-BA8C-91A3519B4CE9},0,0
Secondary Street,Downtown_DesignatedStreetsPly_171,201,{CFDF8B38-3C2A-46F0-AA63-4C7F5E8B357E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_172,202,{B6FB08CE-4CE2-4EC6-B275-EF3FF38272ED},0,0
Secondary Street,Downtown_DesignatedStreetsPly_173,203,{082A7B55-592B-4135-8036-70A5B5973B6E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_174,204,{609D4E19-F120-4D09-B576-342468B04F28},0,0
Secondary Street,Downtown_DesignatedStreetsPly_175,205,{3E4DDFC9-371D-4490-9C97-36A924358827},0,0
Secondary Street,Downtown_DesignatedStreetsPly_176,206,{198E0B54-D22A-409F-A595-061465291B3E},0,0
Primary Street,Downtown_DesignatedStreetsPly_177,207,{A210AB4D-326B-47DC-A8DB-69CCC8FBB08A},0,0
Secondary Street,Downtown_DesignatedStreetsPly_178,208,{8660AABC-CCC4-4FEE-A4B2-250700E5BFAD},0,0
Primary Street,Downtown_DesignatedStreetsPly_179,209,{9549C2BE-0F63-49B3-A394-6EAA76C508AA},0,0
Secondary Street,Downtown_DesignatedStreetsPly_180,210,{86FC72D7-ABC8-46D2-86FA-AC7825E12825},0,0
Secondary Street,Downtown_DesignatedStreetsPly_181,211,{2DDF0636-E918-4843-878A-FD8D2EC6368E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_182,212,{CDC5266E-D4AB-4783-A15E-658F859FE435},0,0
Secondary Street,Downtown_DesignatedStreetsPly_183,213,{AED05A04-1A2B-44CC-BB10-E899D9A165F3},0,0
Primary Street,Downtown_DesignatedStreetsPly_184,214,{F6737F9B-EE23-4952-A626-30863D4315DF},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_185,215,{F6A7D506-A376-4093-A04D-76719864BC29},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_186,216,{80B2FCF1-850E-4EC5-9AAB-DA04AE7ACAE5},0,0
Primary Street,Downtown_DesignatedStreetsPly_187,217,{27D03A6C-604F-4AB1-9F5F-86767E155009},0,0
Primary Street,Downtown_DesignatedStreetsPly_188,218,{68A36682-17BE-466F-B0AB-A95224DD812D},0,0
Secondary Street,Downtown_DesignatedStreetsPly_189,219,{6AD90CAD-45F8-46FD-B88C-328EC3E29EAC},0,0
Secondary Street,Downtown_DesignatedStreetsPly_190,220,{A594FC00-E50D-45A5-A4FE-E41BE4D0606A},0,0
Secondary Street,Downtown_DesignatedStreetsPly_191,221,{514AE5EF-8026-4EC2-A181-77FD0E16F55B},0,0
Tertiary Street,Downtown_DesignatedStreetsPly_192,222,{08DCD232-3947-487A-B13D-21CB6EBAC71D},0,0
Secondary Street,Downtown_DesignatedStreetsPly_193,223,{2F781CB6-8BF6-422A-B688-231FF6969201},0,0
Secondary Street,Downtown_DesignatedStreetsPly_194,224,{4AFA6C7F-F1C2-4CB9-952B-FD7E00EFEAF4},0,0
Primary Street,Downtown_DesignatedStreetsPly_195,225,{AF7BBD59-A18D-4EA5-A0A1-052F5CBCF466},0,0
Secondary Street,Downtown_DesignatedStreetsPly_196,226,{6C09922E-A8F0-40BF-ABD7-48063451B89E},0,0
Secondary Street,Downtown_DesignatedStreetsPly_197,227,{02B9C895-F843-4F6C-97EA-70F1EC238176},0,0
